"Title","ID","Created Date","Updated Date","Owner","course_code","description","school","Subject","bullet_points","Concordia_courses (List)","Online Tutor","In-Person Tutor"
"Remedial Activities for Secondary V Mathematics (Technical and Scientific Option)","DAWSON201-015-RE",2024-09-12T04:30:15Z,2024-09-16T02:38:28Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-015-RE","This course reinforces important concepts from the Secondary V Mathematics curriculum, preparing students for college-level studies.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Algebraic Expressions and Operations</p></li>
  <li><p class=""font_8"">Polynomial Functions and Equations</p></li>
  <li><p class=""font_8"">Factoring Techniques</p></li>
  <li><p class=""font_8"">Rational Expressions and Equations</p></li>
  <li><p class=""font_8"">Exponential and Logarithmic Functions</p></li>
  <li><p class=""font_8"">Trigonometry and Trigonometric Functions</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Remedial Activities for Secondary IV Mathematics (Technical and Scientific Option)","DAWSON201-016-RE",2024-09-12T04:30:15Z,2024-09-16T02:41:49Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-016-RE","This course revisits key concepts from the Secondary IV Mathematics curriculum, ensuring students have a solid foundation for further mathematical studies.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Basic Algebraic Operations</p></li>
  <li><p class=""font_8"">Linear Equations and Inequalities</p></li>
  <li><p class=""font_8"">Quadratic Functions and Equations</p></li>
  <li><p class=""font_8"">Radical Expressions and Equations</p></li>
  <li><p class=""font_8"">Trigonometric Ratios and Functions</p></li>
  <li><p class=""font_8"">Coordinate Geometry</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Elias Bakopanos"
"Calculus I (Commerce)","DAWSON201-103-DW",2024-09-12T04:30:15Z,2024-09-16T02:21:38Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-103-DW","This course provides foundational calculus skills with a focus on applications relevant to social sciences. ","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Derivatives and Differentiation Techniques</p></li>
  <li><p class=""font_8"">Applications of Derivatives (curve sketching, related rates, optimization)</p></li>
  <li><p class=""font_8"">Introduction to Anti-Derivatives</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Zachary Flynn"
"Linear Algebra (Commerce)","DAWSON201-105-DW",2024-09-12T04:30:14Z,2024-09-16T02:44:02Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-105-DW","This course is designed for students in non-science programs and emphasizes practical applications of linear algebra concepts in various fields.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrices and Determinants</p></li>
  <li><p class=""font_8"">Vectors in 2D and 3D Space</p></li>
  <li><p class=""font_8"">Applications to Lines and Planes</p></li>
  <li><p class=""font_8"">Applications of Linear Algebra to Social Sciences</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Calculus II (Social Sciences)","DAWSON201-203-DW",2024-09-12T04:30:14Z,2024-09-16T02:46:23Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-203-DW","This course extends the study of calculus to integral calculus and series, with a focus on applications in social sciences.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Definite and Indefinite Integrals</p></li>
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Applications of Integration</p></li>
  <li><p class=""font_8"">Differential Equations</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">Power Series</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Zachary Flynn"
"Calculus I: Differential Calculus for Social Sciences","DAWSON201-MA1-DW",2024-09-12T04:30:15Z,2024-09-16T02:37:32Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-MA1-DW","This course focuses on differential calculus with applications tailored to the social sciences.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions and Models</p></li>
  <li><p class=""font_8"">Limits and Derivatives</p></li>
  <li><p class=""font_8"">Rules of Differentiation</p></li>
  <li><p class=""font_8"">Implicit Differentiation</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Optimization Problems</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Calculus II: Integral Calculus for Social Sciences","DAWSON201-MA2-DW",2024-09-12T04:30:15Z,2024-09-16T02:40:49Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-MA2-DW","A continuation from Calculus I, this course covers integral calculus and its applications in social sciences.","DAWSON","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Indefinite Integrals</p></li>
  <li><p class=""font_8"">Definite Integrals</p></li>
  <li><p class=""font_8"">Fundamental Theorem of Calculus</p></li>
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Applications of Integration</p></li>
  <li><p class=""font_8"">Differential Equations</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Remedial Activities for Secondary IV Chemistry","DAWSON202-001-50",2024-09-12T04:30:15Z,2024-09-16T02:36:32Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","202-001-50","This course serves as a prerequisite for General Chemistry in college-level science programs​.","DAWSON","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Nature and behavior of matter</p></li>
  <li><p class=""font_8"">Chemical reactions and stoichiometry</p></li>
  <li><p class=""font_8"">Ideal gas law</p></li>
  <li><p class=""font_8"">Energy changes in chemical reactions</p></li>
  <li><p class=""font_8"">Reaction kinetics and equilibrium</p></li>
  <li><p class=""font_8"">Experimental verification of chemical principles</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"Mechanics (Social Science)","DAWSON203-SN1-RE",2024-09-12T04:30:15Z,2024-09-16T02:38:13Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","203-SN1-RE","This course is foundational for students in the Science program, helping them develop problem-solving skills and understanding of mechanical principles.","DAWSON","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Newton’s Laws of Motion</p></li>
  <li><p class=""font_8"">Kinematics and Dynamics of Particles</p></li>
  <li><p class=""font_8"">Work, Energy, and Power</p></li>
  <li><p class=""font_8"">Conservation of Energy and Momentum</p></li>
  <li><p class=""font_8"">Rotational Motion and Dynamics</p></li>
  <li><p class=""font_8"">Gravitation</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Programming I","DAWSON420-110-DW",2024-09-12T04:30:14Z,2024-09-16T02:46:15Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-110-DW","This course introduces the basics of programming, focusing on fundamental concepts and problem-solving techniques.","DAWSON","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Basic Syntax and Structure</p></li>
  <li><p class=""font_8"">Data Types and Variables</p></li>
  <li><p class=""font_8"">Control Structures</p></li>
  <li><p class=""font_8"">Functions and Procedures</p></li>
  <li><p class=""font_8"">Arrays and Lists</p></li>
  <li><p class=""font_8"">Input and Output</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Web Development I","DAWSON420-120-DW",2024-09-12T04:30:15Z,2024-09-16T02:40:54Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-120-DW","This course covers the essential skills and technologies required for front-end web development.","DAWSON","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">HTML and CSS</p></li>
  <li><p class=""font_8"">Responsive Design</p></li>
  <li><p class=""font_8"">JavaScript Basics</p></li>
  <li><p class=""font_8"">DOM Manipulation</p></li>
  <li><p class=""font_8"">Event Handling</p></li>
  <li><p class=""font_8"">Forms and Validation</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Programming II","DAWSON420-210-DW",2024-09-12T04:30:15Z,2024-09-16T02:41:36Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-210-DW","This course builds on the fundamentals learned in Programming I, introducing more advanced programming concepts and techniques.","DAWSON","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced Data Structures</p></li>
  <li><p class=""font_8"">Recursion</p></li>
  <li><p class=""font_8"">Advanced Object-Oriented Programming</p></li>
  <li><p class=""font_8"">Inheritance and Polymorphism</p></li>
  <li><p class=""font_8"">Exception Handling</p></li>
  <li><p class=""font_8"">File I/O</p></li>
  <li><p class=""font_8"">Introduction to Algorithms</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Database I","DAWSON420-231-DW",2024-09-12T04:30:15Z,2024-09-16T02:36:55Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-231-DW","This course introduces the fundamentals of database design, implementation, and management.","DAWSON","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Database Concepts and Terminology</p></li>
  <li><p class=""font_8"">Data Modeling</p></li>
  <li><p class=""font_8"">SQL (Structured Query Language)</p></li>
  <li><p class=""font_8"">Relational Database Design</p></li>
  <li><p class=""font_8"">Normalization</p></li>
  <li><p class=""font_8"">Database Management Systems</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Highschool","HIGHSCHOOLHIGHMATH",2024-09-12T04:30:14Z,2024-09-16T02:47:27Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","High Math","This advanced course provides a deeper exploration of mathematical concepts and problem-solving techniques, preparing students for more rigorous mathematical studies. ","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced Algebraic Techniques</p></li>
  <li><p class=""font_8"">Quadratic Functions and Equations</p></li>
  <li><p class=""font_8"">Exponential and Logarithmic Functions</p></li>
  <li><p class=""font_8"">Advanced Geometry and Trigonometry</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">Complex Numbers</p></li>
  <li><p class=""font_8"">Mathematical Reasoning and Proofs</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Highschool","HIGHSCHOOLMATH",2024-09-12T04:30:14Z,2024-09-16T02:48:49Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Math","This course covers foundational mathematical concepts necessary for higher-level mathematics and everyday applications. ","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Algebraic Expressions and Equations</p></li>
  <li><p class=""font_8"">Linear Functions and Graphs</p></li>
  <li><p class=""font_8"">Systems of Equations</p></li>
  <li><p class=""font_8"">Polynomials</p></li>
  <li><p class=""font_8"">Rational Expressions and Equations</p></li>
  <li><p class=""font_8"">Geometry and Trigonometry Basics</p></li>
  <li><p class=""font_8"">Probability and Statistics</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Highschool","HIGHSCHOOLSCIENCE",2024-09-12T04:30:14Z,2024-09-16T02:46:54Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Science","This course introduces students to basic scientific principles across various fields, providing a foundation for future specialized science courses.","HIGHSCHOOL","SCIENCE","<ol class=""font_8"">
  <li><p class=""font_8"">Scientific Method and Inquiry</p></li>
  <li><p class=""font_8"">Matter and Its Properties</p></li>
  <li><p class=""font_8"">Energy and Motion</p></li>
  <li><p class=""font_8"">Basic Chemistry Concepts</p></li>
  <li><p class=""font_8"">Ecology and Environmental Science</p></li>
  <li><p class=""font_8"">Human Biology and Health</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 4","SEC4ENVIRONMENTALSCIENCE",2024-09-12T04:30:15Z,2024-09-16T02:36:46Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Environmental Science","This course focuses on the interaction between natural systems and human activities, emphasizing sustainability and environmental stewardship.","HIGHSCHOOL","SCIENCE","<ol class=""font_8"">
  <li><p class=""font_8"">Ecosystems and Biodiversity</p></li>
  <li><p class=""font_8"">Energy Flow and Nutrient Cycles</p></li>
  <li><p class=""font_8"">Environmental Chemistry and Pollution</p></li>
  <li><p class=""font_8"">Conservation and Resource Management</p></li>
  <li><p class=""font_8"">Climate Change and Global Warming</p></li>
  <li><p class=""font_8"">Human Impact on the Environment</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 4","SEC4HIGHMATH",2024-09-12T04:30:14Z,2024-09-16T02:45:41Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","High Math","An advanced course aimed at deepening students' understanding of mathematical theories and applications, essential for future STEM studies.","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced Functions and Graphs</p></li>
  <li><p class=""font_8"">Polynomial and Rational Functions</p></li>
  <li><p class=""font_8"">Advanced Trigonometry</p></li>
  <li><p class=""font_8"">Logarithmic and Exponential Functions</p></li>
  <li><p class=""font_8"">Complex Numbers and Polar Coordinates</p></li>
  <li><p class=""font_8"">Vectors and Vector Spaces</p></li>
  <li><p class=""font_8"">Calculus Introduction</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 4","SEC4MATH",2024-09-12T04:30:15Z,2024-09-16T02:34:58Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Math","This course builds on previous mathematical knowledge, focusing on more complex concepts and applications.","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions and Relations</p></li>
  <li><p class=""font_8"">Quadratic Equations and Functions</p></li>
  <li><p class=""font_8"">Geometry and Trigonometry</p></li>
  <li><p class=""font_8"">Rational Expressions and Equations</p></li>
  <li><p class=""font_8"">Exponential Functions</p></li>
  <li><p class=""font_8"">Data Analysis and Probability</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Secondary 4","SEC4SCIENCE",2024-09-12T04:30:14Z,2024-09-16T02:47:15Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Science","This course delves deeper into various scientific disciplines, providing students with a broad understanding of scientific principles.","HIGHSCHOOL","SCIENCE","<ol class=""font_8"">
  <li><p class=""font_8"">Chemistry: Reactions and Equations</p></li>
  <li><p class=""font_8"">Physics: Forces and Energy</p></li>
  <li><p class=""font_8"">Biology: Cellular Processes and Genetics</p></li>
  <li><p class=""font_8"">Earth Sciences: Geology and Meteorology</p></li>
  <li><p class=""font_8"">Environmental Science and Sustainability</p></li>
  <li><p class=""font_8"">Scientific Technologies and Innovations</p></li>
  <li><p class=""font_8"">Lab Techniques and Safety</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 5","SEC5CHEM",2024-09-12T04:30:15Z,2024-09-16T02:38:33Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Chemistry","This course provides a thorough understanding of chemical principles and reactions, essential for students interested in chemistry or related fields.","HIGHSCHOOL","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Atomic Structure and Periodicity</p></li>
  <li><p class=""font_8"">Chemical Bonding and Molecular Structure</p></li>
  <li><p class=""font_8"">Stoichiometry and Chemical Reactions</p></li>
  <li><p class=""font_8"">Thermodynamics and Kinetics</p></li>
  <li><p class=""font_8"">Acids, Bases, and pH</p></li>
  <li><p class=""font_8"">Electrochemistry</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 5","SEC5HIGHMATH",2024-09-12T04:30:14Z,2024-09-16T02:43:48Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","High Math","An in-depth course designed for students pursuing careers in STEM fields, offering a comprehensive exploration of higher-level mathematics.","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced Calculus: Differentiation and Integration</p></li>
  <li><p class=""font_8"">Differential Equations</p></li>
  <li><p class=""font_8"">Matrix Algebra and Determinants</p></li>
  <li><p class=""font_8"">Vector Calculus</p></li>
  <li><p class=""font_8"">Complex Analysis</p></li>
  <li><p class=""font_8"">Mathematical Proof Techniques</p></li>
  <li><p class=""font_8"">Advanced Probability and Statistics</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 5","SEC5MATH",2024-09-12T04:30:15Z,2024-09-16T02:42:58Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Math","This course prepares students for post-secondary mathematics by covering advanced topics in a variety of mathematical fields.","HIGHSCHOOL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced Algebra and Functions</p></li>
  <li><p class=""font_8"">Analytic Geometry</p></li>
  <li><p class=""font_8"">Trigonometry and Circular Functions</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">Calculus Basics: Differentiation and Integration</p></li>
  <li><p class=""font_8"">Probability and Statistics</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Secondary 5","SEC5PHYS",2024-09-12T04:30:14Z,2024-09-16T02:45:37Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","Physics","This course explores fundamental concepts in physics, preparing students for further study in physical sciences and engineering.","HIGHSCHOOL","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Mechanics: Forces and Motion</p></li>
  <li><p class=""font_8"">Energy and Work</p></li>
  <li><p class=""font_8"">Waves and Sound</p></li>
  <li><p class=""font_8"">Electricity and Magnetism</p></li>
  <li><p class=""font_8"">Optics and Light</p></li>
  <li><p class=""font_8"">Modern Physics: Quantum Mechanics and Relativity</p></li>
  <li><p class=""font_8"">Thermodynamics and Heat Transfer</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"General Biology II","VANIER101-HTK-05",2024-09-12T04:30:14Z,2024-09-16T02:45:32Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","101-HTK-05","This course is designed for science students to further explore biology beyond the basics.","VANIER","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">Chemistry of Life</p></li>
  <li><p class=""font_8"">Cell Structure and Function</p></li>
  <li><p class=""font_8"">Membrane Transport</p></li>
  <li><p class=""font_8"">Energy Transformation in Cells</p></li>
  <li><p class=""font_8"">Genetics and Inheritance</p></li>
  <li><p class=""font_8"">Evolutionary Biology</p></li>
  <li><p class=""font_8"">Physiology of Plants and nimals</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
